# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000724231
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07533e-05
-5.05489e+06,0.995665,0.000724231,2,3,0,5.05491e+06,-1.27971,0.000689649,3.99244,5.39665,8.90981,12.1856,15.3315,17.831,16.0123,20.3275,46.8265,37.3982,2,7,9,14,12,18,23,19,43,28
-5.05395e+06,0.999373,0.000724231,4,15,0,5.05489e+06,-1.27942,0.000705117,4.2395,5.76948,9.63307,13.2676,16.779,19.5808,17.5412,22.3879,52.5473,41.7561,3,10,12,14,10,14,15,17,70,48
-5.05393e+06,0.970102,0.000724231,1,1,0,5.05395e+06,-1.27941,0.000710725,4.33239,5.91036,9.90861,13.6819,17.3353,20.2548,18.1291,23.1833,54.7846,43.4544,6,8,11,15,18,18,9,21,50,53
-5.05391e+06,0.97519,0.000724231,3,7,0,5.05393e+06,-1.27941,0.000701926,4.18763,5.69095,9.47994,13.0378,16.4709,19.2078,17.2156,21.9481,51.3165,40.8205,3,6,7,12,10,19,14,26,45,30
-5.05389e+06,0.989485,0.000724231,1,1,0,5.05391e+06,-1.2794,0.000705267,4.24205,5.77333,9.64055,13.2788,16.794,19.599,17.557,22.4093,52.6071,41.8016,3,4,7,19,22,27,11,19,66,41
-4.95382e+06,0.976503,0.000724231,7,127,0,5.05389e+06,-1.24777,0.000705285,4.37867,5.9593,9.95122,13.7068,17.3355,20.2309,18.1231,23.132,54.3047,43.1502,3,5,10,11,19,21,21,25,61,45
-4.9538e+06,0.995483,0.000724231,2,3,0,4.95382e+06,-1.24776,0.000707062,4.40887,6.00508,10.0406,13.8411,17.5157,20.4492,18.3136,23.3895,55.0274,43.6991,5,9,9,20,19,20,19,19,49,33
-4.95378e+06,1,0.000724231,1,1,0,4.9538e+06,-1.24776,0.000703706,4.35212,5.91909,9.87273,13.589,17.1774,20.0395,17.9561,22.9062,53.6722,42.6696,6,6,12,16,16,26,18,28,49,44
-4.95365e+06,0.950055,0.000724231,2,3,0,4.95378e+06,-1.24772,0.000714502,4.53762,6.20057,10.4237,14.4179,18.2908,21.3889,19.1329,24.4989,58.1586,46.0739,1,6,12,15,11,20,19,22,51,54
-4.95357e+06,0.925804,0.000724231,4,15,0,4.95366e+06,-1.24769,0.000680899,3.98534,5.36649,8.80384,11.9929,15.0451,17.4645,15.7046,19.8766,45.3055,36.2869,3,4,7,16,19,16,8,20,43,43
-4.95355e+06,1,0.000724231,1,1,0,4.95357e+06,-1.24768,0.000685095,4.0505,5.46424,8.99159,12.272,15.4168,17.9124,16.0968,20.4026,46.7413,37.3856,8,4,12,15,8,15,22,21,50,34
-4.95352e+06,1,0.000724231,1,1,0,4.95355e+06,-1.24767,0.000685508,4.05699,5.474,9.01034,12.2999,15.454,17.9572,16.136,20.4553,46.8853,37.4958,4,7,9,13,21,20,15,25,58,24
-4.9535e+06,1,0.000724231,1,1,0,4.95352e+06,-1.24767,0.000685922,4.06352,5.4838,9.0292,12.328,15.4914,18.0023,16.1755,20.5082,47.0303,37.6067,2,4,7,9,15,24,8,19,51,25
-4.95348e+06,1,0.000724231,1,1,0,4.9535e+06,-1.24766,0.000688051,4.0971,5.53426,9.1264,12.4727,15.6844,18.2351,16.3792,20.7818,47.7807,38.1802,7,6,10,17,18,26,15,21,39,34
-4.95346e+06,0.988419,0.000724231,1,1,0,4.95348e+06,-1.24765,0.000683834,4.03093,5.43485,8.93503,12.1879,15.3046,17.7772,15.9784,20.2437,46.3066,37.0532,5,10,10,8,25,21,20,15,51,50
