lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
506.486,0.999992,0.00326443,8,511,0,-502.635,2.50077,2.49998,2.50102,2.49864,2.49972,2.50086,2.50013,2.50085,2.50187,2.49952,0.000121378,19.4851,20.5304,22.4478,23.663,24.6656,25.3588,24.8651,25.9503,30.0864,28.8513,30,19,32,22,20,23,25,36,29,36
509.799,0.999845,0.00326443,8,511,0,-505.309,2.50067,2.5,2.50081,2.49957,2.5001,2.49959,2.50038,2.50015,2.49987,2.50091,9.62827e-05,17.6832,18.4307,19.783,20.6414,21.3251,21.7685,21.461,22.1828,24.9168,24.1719,9,25,25,16,25,14,21,26,22,29
505.425,0.880714,0.00326443,8,255,0,-502.695,2.50079,2.49976,2.50067,2.50024,2.49953,2.50216,2.50189,2.4995,2.49882,2.50076,9.97891e-05,17.9264,18.7061,20.1321,21.0559,21.752,22.2912,21.9408,22.6575,25.5479,24.7781,7,15,19,17,26,21,15,35,31,20
506.176,0.984288,0.00326443,8,511,0,-499.657,2.49961,2.50028,2.49991,2.50202,2.49981,2.5013,2.49867,2.49994,2.49986,2.50142,9.68293e-05,17.7017,18.4792,19.8196,20.7541,21.3869,21.8777,21.4933,22.2536,25.018,24.2784,17,21,26,18,21,19,24,17,26,27
501.986,0.984929,0.00326443,8,255,0,-497.59,2.49917,2.50027,2.50182,2.50209,2.49876,2.50073,2.49962,2.50059,2.50018,2.50264,9.56125e-05,17.611,18.3826,19.7363,20.6176,21.2137,21.7054,21.3603,22.1001,24.8006,24.0987,11,16,24,16,18,29,24,23,20,19
502.7,0.860023,0.00326443,8,511,0,-495.314,2.50035,2.49988,2.49762,2.49973,2.5018,2.50087,2.50024,2.49973,2.49924,2.49746,9.8605e-05,17.8368,18.6134,19.9515,20.909,21.6517,22.1039,21.7528,22.4962,25.3346,24.4894,10,13,17,26,16,29,34,23,24,23
504.648,0.996938,0.00326443,9,511,0,-496.258,2.50195,2.50061,2.49742,2.50001,2.49957,2.50025,2.50017,2.50097,2.49992,2.50096,9.76272e-05,17.798,18.5488,19.8498,20.8032,21.4811,21.9603,21.6266,22.3874,25.1683,24.4052,17,16,22,22,23,18,22,23,26,28
506.185,0.996296,0.00326443,8,255,0,-498.891,2.50009,2.50061,2.49845,2.49892,2.50001,2.5002,2.49943,2.50032,2.49975,2.49747,0.000109115,18.5709,19.4881,21.0515,22.1309,22.9749,23.535,23.1199,24.0309,27.4071,26.3891,15,14,20,23,32,19,23,23,30,25
506.95,0.922246,0.00326443,8,255,0,-503.384,2.50008,2.50103,2.49878,2.49869,2.50028,2.50022,2.49906,2.50033,2.49975,2.49813,0.000115098,19.0051,20.0044,21.7014,22.8635,23.7946,24.4007,23.9386,24.9428,28.6534,27.5535,22,16,18,25,34,22,22,22,28,24
505.77,0.925074,0.00326443,9,511,0,-498.378,2.49959,2.50098,2.49941,2.50033,2.4985,2.50103,2.50118,2.49836,2.49939,2.50076,9.34286e-05,17.4703,18.2237,19.4739,20.3364,20.9406,21.4278,21.1208,21.7534,24.382,23.6829,14,17,24,17,23,32,19,19,22,30
